BOOK_TITLE | Soccer Star
SOCCER_STAR_PAGE_52 | You see that the goalie has all his weight balanced to one side. With a convincing fake you should be able to beat him the other way. You feint left, then drill the ball at the net, aiming just inside the far corner. The ball hits the post. SNAP! It ricochets in front of your right wing forward. He rifles it into the net for a score!<br>Pumped up by the excitement of the scoring drive, you run back for the next kickoff. But a moment later the whistle blows. The game is over, and so is gym period.<br>Coach Drake is waiting for you by the gymnasium entrance. You'd forgotten he was watching.<br>"I've had my eye on you," he says cheerfully. "And I like what I see. You're always moving, never letting up. New league rules are allowing me to add a player to my roster. How would you like to work out with the varsity team from now on?"<br>You bend over to catch your breath and think about this. Getting a chance to play with the varsity is an unbelievable opportunity. But it would involve a lot of hard work, including practicing every day after school. You're really into soccer, but maybe you should continue playing just for fun. That would leave time for you to do other things.

SOCCER_STAR_TRANSITION_PAGE_21 | You tell Coach Drake you'll give the varsity a shot.
SOCCER_STAR_TRANSITION_PAGE_28 | You decide not to accept Coach Drake's offer.

SOCCER_STAR_PAGE_53 | "In the final scrimmage game tomorrow, I'm going to put you at halfback," the coach says. "This game is to help me decide who's going to be on the first team, so be ready."<br>You are jogging back to the gym, thinking about tomorrow's game, when Sean Raynor sneaks up behind you. He lightly punches your shoulder. "Hey, you're quite the coach's favor- ite, aren't you?" he sneers.<br>"What do you mean?" you answer.<br>"Think by kissing up to the coach you're going to beat me out for my position tomorrow?" he says. "You should have paid attention to my warning and stayed away."<br>"So that note was yours!" you shout. "It figures. "<br>"Remember what I said," he says. "Beware tomorrow." Then he sprints away from you.<br>You shake your head, wondering why jerks like him exist.

SOCCER_STAR_PAGE_55 | Some kids in the class begin to laugh. The list looks pretty ridiculous:<align="center"><br>NAPOLEON<br>GEORGE WASHINGTON <br>ABE LINCOLN <br>MADONNA<br>MICHAEL JORDAN MICHAEL JACKSON <br>MALCOLM X<br>MARTIN LUTHER KING <br>JULIUS CAESAR <br>HILLARY CLINTON</align><br>"Don't laugh," Mr. Charbonneau says. "This is an excellent list. With these people we can trace much of the history of the world!"<br>You blink when you hear him say that. The list leaves so many important people out. And Madonna next to Abe Lincoln? That's crazy.<br>"Now, before we continue," Mr. Charbonneau says, "I want you to know that we have a rule here at the Summer Discovery Center. If you lose interest at any time, feel free to walk out of the classroom. Instead of sitting here, you can read, watch television in the lounge, or go swimming in the pond. You don't even have to excuse yourself from class. And don't feel it will go against you if you leave. That's our special rule, and we expect you to follow it. Everyone understand?"

SOCCER_STAR_PAGE_56 | Still limping a little, you make your way over to the coach.<br>"What's up?" Drake asks.<br>"While everyone was distracted by the collision, Sean kicked me in the calf," you say.<br>The coach seems annoyed. "Sean!" he calls, signaling him to the sidelines.<br>Sean jogs over. "Yeah, Coach."<br>"What's this about you kicking another player?" Drake demands.<br>Sean looks at you, hatred in his eyes. "It was an accident."<br>"Sure," you say. "The ball was twenty yards away."<br>"Give it to me straight, Sean," the coach says.<br>"It was just a tap," he says.<br>"You were trying to hurt me." You bend your leg to show the mark.

SOCCER_STAR_PAGE_57 | "I can't do anything myself," he says. "I was driving along when a rockslide tumbled down right in front of me. A boulder landed under my left front wheel and I hit it hard. It put me into a skid and knocked my axle out of line."<br>As he's talking he picks up a cellular phone. "I called the police a while ago," he continues. "They said they've got so many emergencies they can't do anything for me until tomorrow. But a busload of kids hanging over a river - they'll get on that in a hurry!"<br>The driver reaches the police and gives them the urgent message and your location. Within an hour two police cars and a fire engine arrive. The driver stays in his truck. You ride in the po- lice car to direct the emergency crew to the bridge. <br>The bus is still hanging over the river's edge when you reach the scene. A police officer trains a spotlight on it, and you can see your friends' frightened faces in the windows. The firemen raise a ladder up to the front door. Within fifteen minutes they have everyone safely out.<br>You get a hug from each teammate.<br>"Coach," someone says, "think we can still make the game?"<br>"I like your spirit," Coach Drake says. "But it's three o'clock in the morning. It will probably be a couple more hours before we get to bed, and most of our gear is still stuck on the bus. I think we're going to have a championship team, all right... but next year."

SOCCER_STAR_PAGE_58 | It's a difficult angle, but you are sure your best shot is to kick wide, aiming for just inside the far post.<br>You kick the ball, directing it a little to the left of the goalie. It whizzes by him, glances off the crossbar, and bounces out-of-bounds.<br>Lindholm has a goal kick. He boots it far downfield, where a Weston halfback receives it. He dribbles several yards, then passes to a forward. The Hillsdale defenders converge on him, but with some quick footwork, he wriggles his way free, shoots, and scores! All before you can get into the action.<br>It's a goal your team isn't able to win back. In a few minutes, the final whistle sounds. It's Weston's game-2-1.<br>On the bus back to Hillsdale, you ponder your future as a soccer player. Coach Drake told you that you had what it took to become a star. But your performance this afternoon makes you wonder. Maybe all the coach's praise was just pep-talk stuff. You're a good player, you're sure of that. But that's probably all. You wonder whether you'll even go out for soccer next year.<br>At least you've got a while to think about it.<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_59 |  "That's right," the coach answers. "He was rushed and had his eyes on the fullback charging him instead of on the ball. That's one reason your pass was not the best percentage play. It's great to be a team player and not hog the ball, but when you see that you've got a scoring opportunity, go for that goal."<br>"Next time I will," you say.<br>"Good - this is the kind of thing you learn from experience. And one great thing about experience: keep playing and there's a hundred percent chance you'll get it!"<br>The team begins boarding the bus. Coach Drake gives you a reassuring pat on the shoulder as you climb aboard. You feel a lot better after your talk with him. Next year will be different, you think. Next year you're going to lead Hillsdale to victory!<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_60 | The Garafalo Soccer Camp is the best in the country. It's going to be terrific fun. The camp coach, Pete Williams, is well-known, and the other kids are all great. Workouts are scheduled for early in the morning before it gets too hot. By 11 :00 A.M. you're sweating and soaked through, ladling water over your head to keep cool. But you don't want to stop.<br>The drills you practice are designed to improve your technique, but you also pick up some great new tricks, including the spectacular rainbow. This is the kind of move only a star can make. With the toe of one foot you lift the ball up the heel of the other foot and then lean forward and flip it over your head!<br>Each day you enjoy soccer camp more and more. Maybe it's because you're learning all the time. Maybe it's because you're free of the pressure you feel during the regular season. Maybe it's because you've got a feeling you're on the way to becoming a superstar.

SOCCER_STAR_PAGE_62 | You and the others trot to your positions on the field. Coach Drake roams the sidelines, motioning at different players to move a little one way or another. The equipment manager hands out different-colored jerseys to each side. Your team, the "Reds," is kicking off against the "Blues." You exchange a thumbs-up sign with your teammates.<br>The whistle blows, and the game is on! Your center forward kicks softly over to the right wing, who shovels it back to you. You kick to the left wing, who has a clear field for about ten yards before the defense rushes up to meet him. Bodies collide, and you realize that varsity soccer here is a much different game than you are used to.<br>The Blues score first, but then your team rallies back. You're in the middle of the action, hustling all the time, but most of the others are bigger, stronger, and clearly more experienced. You can't believe they're only trying out for the team!<br>Out of the corner of your eye, you notice Coach Drake watching, just as one of the other players slips by you. He has no expression on his face, but for some reason you feel sure you'll be cut by the end of the day.

SOCCER_STAR_63 | A tremendous thumping comes from the back of the bus. You hang on to the seat ahead of you as the bus lurches sideways, then tilts backward. A torrent of water swirls past outside.<br>"If this gets any deeper, we're in trouble," Bob exclaims.<br>"Stay in your seats," the driver yells. He gets up, opens the front door, and carefully maneuvers himself so that he can look out.<br>The kid seated across from the driver is also looking out the door. He calls over to you. "That river is wild! And it's still rising!"

SOCCER_STAR_64 | Ms. Finley looks directly at you. "I've found that students rarely do well if they only do something because they're told to. It would be another thing if you worked harder because you wanted to, but obviously you don't want to or you would have already."<br> "Well, maybe it's just that I got so involved in 1 soccer, books haven't interested me that much lately," you explain.<br>"Excellent analysis," Ms. Finley says. "But now it's time to think ahead a little. Do you know what you want to do when you finish high school?"<br>"Go to college," you answer quickly.<br>"Unless you're already a soccer superstar?" "Right," you say.<br>"But you can't count on that, can you?" Ms. Finley asks, raising an eyebrow.<br>"That's for sure," you say.<br>Ms. Finley nods. ''Look, some people think that I only like book-learning. The fact is I love sports and I think if you want a career as an athlete that's just fine. But what I don't want is for you to limit yourself. You may find a few years from now that even though you're a darn good soccer player, no one's going to pay to watch you play, and that your marks aren't good enough for college admissions directors."

SOCCER_STAR_65 | "So I guess I better start working harder," you say.<br>Ms. Finley's brow wrinkles. She raises a finger. "That won't quite do it. You've got to get interested enough in some area so that you want to study it."<br>"How do I do that?" you ask.

SOCCER_STAR_PAGE_67 | The following Monday you start playing club soccer during gym periods. Your friend Mike introduces you to a new bunch of kids, and you immediately hit it off. It's a lot of fun.<br>You notice right away that there are two types of players here. Mike and some others are more interested in having a good time than in improv- ing their soccer skills. But there are plenty of serious players, too. They would probably be on the varsity team at most schools and they make sure that the club games are swift and lively. Still, you're able to hold your own.<br>After the first few games, some of the better players recognize how well you're doing. As you're walking off·the field one day, one pats you on the back.<br>"Nice playing out there," he says. "Keep up the good work."<br>Getting noticed makes playing soccer even more fun. You really begin to work on your game. You practice dribbling, using both feet to sweep the ball to one side, then to the other, and using head fakes to throw your opponent off stride. Then you practice moving up field, passing and volleying with some of your new friends. You also work on defense and shooting.<br>After school, you hang around with Mike, doing homework, goofing off, and playing soccer games on your computer at home. You're settling into life at Hillsdale just fine.

SOCCER_STAR_PAGE_68 | You jump. The wet riverbank breaks your fall, but you have to dig your fingers into the gravelly ground to keep from slipping under the bus. You steady yourself on your hands and knees and then, like some primitive animal, claw your way up to the road.<br>As you reach it, you hear the sound of tearing metal. You wheel around in time to see the bus sliding backward, its front end tilting sixty degrees in the air! You're sure that in another second it will plunge into the raging river and be swept away. Miraculously it comes to a sudden halt as its back end catches on a huge boulder at the river's edge.<br>You stand shivering in the rain. Thinking of all your teammates trapped on the bus, you have to fight to keep calm. Only you can help them now. But you'll have to do it fast, before the boulder holding the bus gives way or the water rises any higher.<br>You look around in the darkness. You can't see more than a few feet ahead, and your ears are deafened by the roar of the rushing flood.

SOCCER_STAR_PAGE_69 | You step aside, intending to give Sean a wide berth. But he has other ideas. He lets loose a karate kick at your nearest leg. Luckily, the instincts you've developed playing soccer have quickened your reflexes. You jump clear and keep walking.<br>"Afraid of me?" he taunts.<br>You pay no attention, which enrages Sean more.<br>He runs alongside you. "Hey," he shouts. "You hear what I said to you? Answer me!" <br>"What did you say - I forgot."<br>"I said you're afraid of me."<br>"Oh yeah, I remember now."<br>"Well, are you?" Sean demands.<br>"Why ask me? You said I was," you say, continuing to walk away.<br>Sean makes a throaty, jeering sound. "Jerk," he shouts.<br>As you keep walking he trails behind you. "You'd better watch out - I'm not through with you. "<br>You never turn around. That's the last you see of Sean Raynor for a while. A few weeks later you hear he has been kicked out of school for starting fights. Too bad, you think. Sean could have been quite a soccer player.<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_70 | The Bear halfback tries to dribble the ball by you. You stab your foot at the ball, committing yourself a little early. He flicks it to the right with his left foot, and suddenly he's past you-driving down the field! You pour on the speed and catch him, but he's already passed the ball off to a wing forward. You groan, thinking that if they get a goal it will be because you let them through.<br>Fortunately a Buff fullback charges the Bear controlling the ball. He tries to pass it but hooks it wide and out-of-bounds. Your wing halfback puts the ball in play. He catches your eye and fires a pass. A second later the ball is practically resting on your toe.<br>You steal a look at the clock, which is running out: one-fifty-six, one-fifty-five...<br>This may be your last chance. You dribble past one defender, then another, moving the ball into Bear territory. Suddenly both Bear fullbacks charge you. You look for possible receivers. Your teammates are either covered or offside.

SOCCER_STAR_PAGE_71 | You could try to dribble around the rushing defensemen, but that's what they're expecting. Maybe you should cross them up with the spectacular trick move you've been practicing - the rainbow!

SOCCER_STAR_TRANSITION_PAGE_82 | You try to dribble around the opposing fullbacks
SOCCER_STAR_TRANSITION_PAGE_112 | You try the rainbow

SOCCER_STAR_PAGE_72 | Dr. Edelman holds up his hands for silence. "Welcome to the Discovery Center," he says. "Those of you who dreaded coming here, put those worries out of your mind. You are going to find that this school is fun. That's guaranteed! If you don't like what we have to offer, then you can drop out and there will be no hard feelings. Our goal here is to have you find your interests and then follow them." Some of the kids who have been sitting tensely in their chairs relax a little.<br>"Classes will be held for only two hours a day," Edelman continues. "And you can do your homework outdoors if you'd like. We also have a great swimming pond for cooling off when you're ready for it."<br>The kid on your left grins at you. ''This is sounding better and better," he says.<br>"I promise you," Edelman says, "that this course will be unlike any other you've ever had. Now, those who are interested may sign up here. The others can return home on the bus later today."

SOCCER_STAR_PAGE_74 | Then, amazingly, brilliant light streams in. Instead of swirling water, floodlights show through the hatch!<br>You scramble up the ladder and survey the scene. The sub has been raised with ropes and pulleys. Workers are pulling it alongside the dock. In a few minutes you and all the passengers are safely out on the shore.<br>A man in a blue blazer with a Daredevil Park emblem strides over. "Hope all you folks enjoyed your trip under the sea," he says. "It's our most realistic ride. "<br>"What about our wet clothes?" someone yells.<br>The man laughs. "Hey, don't get angry. This is no firemen's fair you're at - this is Daredevil Park!<br>Now you're really confused. Was what happened really part of the ride?

SOCCER_STAR_PAGE_75 | You've decided you've had enough of this stuff, so you get up from your seat and head outside. Mr. Charbonneau doesn't even glance at you as you leave. You watch TV in the lounge for a while. It's completely boring. You head down to the pond, put on your swimsuit, and dive in. In a few minutes some other kids join you. You're not the only one who got bored!<br>During the next few days you go to some more classes, but you don't sit through many. You're just too restless. After a week, you tell Dr. Edelman that you'll be going home. He wishes you luck.<br>Back at home, you can't wait for school to start again. You want to get out on the soccer field and boot goals!<br>Sometimes you think about what Ms. Finley said. You know she'll be disappointed that you quit summer school. Of course, she doesn't know something that you do-that you can be- come a soccer superstar. And that's just what you're going to do!br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_76 | You stop and face Sean, hands up, palms outstretched. "I know you're mad I told the coach what you did, but what did you expect me to do? Just let you kick me anytime you wanted?"<br>"You could have kicked back," Sean says. "You were too chicken to do it."<br>"If I'd kicked back, what would you have done?" you ask.<br>Sean's eyes are blazing. "I wouldn't have let you get away with it!"<br>"So we would have had a fight."<br>"Yeah, if you hadn't been chicken," he shouts back.<br>"And we would have both gotten booted off the team."<br>"Yeah-well, at least it wouldn't have been just me," Sean says, still angry.<br>"You were only suspended. You could have worked your way back on the team. You still could. But if we'd had a fight in the middle of a game, with two guys down on the field, we'd have been out for good."<br>"So?" Sean mutters.<br>"So-after kicking me, there was no way you could avoid being suspended or thrown off for good." You've made your point, but Sean is not buying it. He makes a motion as if he's about to come at you, then stops.

SOCCER_STAR_PAGE_77 | "You were just hurting yourself. Don't you see that?" you ask.<br>Sean stammers a moment.<br>"Look, I'm willing to be friends," you say.<br>Sean half-grins. "You and me friends-that's a good one."<br>"Well, think about it," you say. "Having good friends is just as important as having good teammates. "

SOCCER_STAR_PAGE_79 | A visit to Daredevil Park is exactly what you need to help you take your mind off things.<br>"I'd love to go," you tell Mike the next day. "Thanks for the invite."<br>"No problem," he says. "You're not going to regret it."<br>On Friday, you and Mike are raring to go. You've heard that the rides at Daredevil Park are more extreme than you'll find at any other amusement park. Since the park isn't officially reopened yet, you'll only be able to try Twenty Thousand Leagues under the Sea. But according to Mike's uncle, it's the wildest ride of all.<br>When you arrive at the park you are led to a special domed building constructed to house the wondrous new attraction. It is the largest structure in the entire park. The inside is eerily dark and almost completely taken up by a huge pond of water. A hulking submarine is tied up to a dock near one of the edges. It's an exact replica of the Nautilus, the submarine in the famous book on which the ride is based.<br>About ten other people with special tickets are waiting to go aboard. You and Mike arrive just in time. The moment you take your places in line, the attendants start letting passengers on.<br>You follow the others onto the deck, through a hatch in the conning tower, then down a lad- der. At the bottom of the ladder you squeeze through a second hatch and into the submarine's main compartment. A man is waiting to greet you.

SOCCER_STAR_PAGE_80 | That night your leg is still hurting. The next day you decide to see the doctor. He says you have a broken blood vessel and that you should have stopped playing immediately after you were kicked. Then comes the bad news. It's going to take three weeks off the field for it to heal.<br>There goes my chance to become a star this year, you think. Sean is going to get your slot, and your shot at a championship season. But it's too late to complain about him now. The only thing you can do is get better and try even harder next year. You promise to do just that and to be sure not to let anyone get in your way again.<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_81 | "Still, all was not weil," the teacher continues. "Cruel discrimination was often the rule. It took the civil rights movement, led by Martin Luther King, to awaken America to an understanding of what true equality means.<br>"The years of oppression had left unhealed wounds. The life of Malcolm X gives even deeper meaning to the history of our country. In a different way, so does that of Hillary Clinton. Because she proves, as well as anyone, how important it is to our country that women have rights equal to those of men." He checks off these new names.<br>"What about Michael Jordan, Michael Jackson, and Madonna?" you ask. "How do they fit?"<br>"A very good question," Mr. Charbonneau says. "They are troubadours, minstrels, actors, who perform for us and who mirror our times. Artists and sports figures are part of history, too. The world would be a far less interesting place without them."<br>Mr. Charbonneau's lecture goes on for a whole hour, but you barely notice the time go by. When he finishes, your head is swimming with ideas. <br>Each of his classes after that is equally interesting. By the end of summer school you're eager to take all you've learned back to Hillsdale and put it to work in your new classes.

SOCCER_STAR_PAGE_82 | You're confident that you're faster than the defense and decide to dribble around them. You move to the right, fake a pass, hook the ball left, and shoot by the first defender. But the second fullback is quickly on top of you. You try to pass, but the defender blocks it. Bears and Buffs are all over the ball. A Buff shovels it out of the pack, kicking it toward the corner. A Bear takes it off his knee. It bounces ahead of him. He dashes toward the ball, straining to reach it and the wide-open field ahead...<br>You race at top speed but realize there's only one way to stop him. You slide, baseball style, toeing the ball clear of the attacking player. He lunges for the ball - too late. Your teammate swoops in and gets it under control. By this time you're on your feet and sprinting ahead of him, ready to receive a pass.<br>Another Bear moves in to cover you. Good, now you're not offside. Your teammate passes. You trap the ball and wheel, dribbling toward the goal. But you're most of the way over toward; the sideline and rapidly running out of room.<br>You are cutting in closer when two Bears suddenly converge on you. You're at an extreme angle to shoot, but there's no one to pass to. You direct a sharp left-footed kick, aiming at the far end of the net. The goalie launches his body completely off the ground, but he can't stop your shot. The ball grazes the net support and careens in for a goal: 3-2 Buffs. Under a minute to play.

SOCCER_STAR_PAGE_84 | Slowly you make your way through the darkness to the police barricade in front of the bridge. Two red flashing lights are attached to it. You try to detach one to light your Way,but they are firmly bolted on. You pull with all your might. Still the light won't budge.<br>Rain is pummeling you, and you are chilled to the bone, but you continue on to the bridge. In the eerie flashing light from the barricade you can see waves splashing over the guardrails. The roadway itself is totally underwater. There's no way of telling whether the bridge is still sturdy - you'll just have to risk it.<br>You start out over the bridge. After only a few steps the water is almost up to your waist. Crashing waves drench your body. You're as soaked as if you were actually in the river!<br>Another wave smashes you and drives you toward the metal guardrail. With a desperate lunge you reach underwater and grab its edge to keep from going over.<br>The bridge shudders. Something must have hit it, maybe a big log. With each step you take, you feel the road giving way under your feet. You quicken your pace to get across before the bridge collapses, but it's rapidly falling away from you. Suddenly the whole structure splits, plunging you into the river. The fierce current sweeps you downstream.

SOCCER_STAR_PAGE_85 | You decide to take the course. Most of the other kids do, too. It's only a couple of hours a day, and besides, you have a feeling it's going to be different than regular school.<br>The first day of class, Mr. Charbonneau, your teacher, arrives in sneakers and tennis shorts. He sits on his desk, his feet dangling over the side, and grins at you as you take your seats.<br>"Well," he begins, "what are we going to do in this course? How can we possibly decide what famous people, books, and movies to talk about? There are so many."<br>You can't help smiling, because you were thinking the same thing.<br>"Well, let's start with people, to make it simple," he says. "Who are the most famous people in history? Does anyone have any ideas? Just speak out. All ideas are good ideas." He takes a piece of chalk and stands at the blackboard, waiting for responses.<br>"Napo1eon, " someone says.<br>"George Washington," you call out. The ideas come thick and fast. Mr. Charbonneau scribbles them on the blackboard in huge letters. It's not long before he has a long list.<br>Mr. Charbonneau holds up his hands. "That's it, there's no more room. Of course, we've left a lot of people out. Another group would probably have had a very different list. But let's see." He stands back and looks at the board.

SOCCER_STAR_PAGE_86 | "Well, there are a lot of ways," Ms. Finley says seriously. "It's only a month to summer. For some kids it's a time to goof off. I think it would be very bad if that's what you did.<br>"Some colleagues of mine have started a sum- mer school," she continues. "It's called the Summer Discovery Center. The idea is not so much to cram knowledge into you but to encourage you to explore areas that might interest you and that you can really get excited about."<br>"I'm really excited about soccer," you say. <br>"Good. In that case I recommend you go to soccer camp - I'm sure Coach Drake can get you into the best one there is. If you're going to bet on becoming a superstar, then you better really go for it."<br>"Then again," you say, "I'm not sure all I want to do is be a soccer player."<br>"That's fine, too. Then maybe you should go to this summer school. Soccer will still be there in the fall. In any case, think about it," she says, stepping out from behind her desk. "Don't just drift."<br>That night you think about what Ms. Finley has said. It's a long time before you get to sleep, but when you wake up in the morning, one thing is certain: this summer you're going to do something!

SOCCER_STAR_TRANSITION_PAGE_60 | You decide to go to soccer camp
SOCCER_STAR_TRANSITION_PAGE_110 | You decide to find out more about summer school

SOCCER_STAR_PAGE_88 | "What?" you ask.<br>"That you're not a quitter, you're a fighter," he answers. "You aren't content to wait around and let things happen. And most importantly, it tells me you' re a pretty tough kid."<br>"I guess I am," you say.<br>"I just realized something else," he continues. "What's that?" you ask.<br>Coach Drake grins. "Those traits of yours I described. They're just what you need to become a soccer star."<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_89 | You spot a small seam between the goalie and the near post. You boot the ball hard, aiming for that sliver of open space. The kick is perfect, but Lindholm, anticipating, dives for it. He taps the ball with an outstretched hand just before it crosses the goal line. The ball rolls harmlessly out-of-bounds.<br>Your team gets a corner kick, but Weston quickly gains control and moves the ball to midfield. Just before the final whistle, the Weston forwards set up a great play and drive the ball home. Final score is Weston 2, Hillsdale 1.<br>The season is over. It was a tough game to lose. Still, you have surprisingly good feelings. You played an excellent game. That final shot of yours was as clean and true as you could hope for. You give Lindholm credit for stopping it.<br>Next year you're going to practice shooting even more, you think. You're going to learn how to get the ball past Lindholm if it's the last thing you do.<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_90 | You have mixed feelings about what to do. The course sounds pretty exciting, and you're curious about what you might learn. On the other hand, Dr. Edelman said to follow your interest. For you, that's soccer. What's the point of taking part in a class that your heart's not really in, especially one the teacher says you can drop out of at any time?

SOCCER_STAR_TRANSITION_PAGE_85 | You decide to sign up for the course
SOCCER_STAR_TRANSITION_PAGE_48 | You decide the course is not for you

SOCCER_STAR_PAGE_91 | Despite your coach's pep talk, the second half is almost a repeat of the first. Only, this time it's the Bears who score quickly and your team that strikes right back. Then the defenses on both sides dig in. A couple of times you pass the ball to a forward in good scoring position only to watch the Bears' goalie make a great save. But every time the Bears get near your goal one of your fullbacks manages to intercept the ball and send it the other way.<br>You are so caught up in the game that you suddenly realize there's under three minutes left to play, and the score is tied 2-2. You can't help wondering what the scouts think of your playing. You've played a good game, but you couldn't say you've been a standout.<br>You stop thinking about such things in a hurry when a Bear right in front of you receives a pass.

SOCCER_STAR_PAGE_93 | You head off back down the road. You have to grope your way, inch by inch, as you try to follow the pitch-black path. You can't remember a darker night.<br>Though you can't see the river, you can hear it raging on your left. A steep slope, barely visible, rises on your right. The rain continues to pelt you, and you are soaked through. You wish you could walk faster just to keep warm.<br>You've covered about half a mile when you see a dim, pulsing light up ahead. That could be help. You slog your way through the mud toward it. A hundred yards farther the road curves. Suddenly, as you round the bend, you see a big truck with its flashers on. The truck is leaning sideways, mostly off the road. Getting closer, you see that the front axle has been knocked askew. A broken boulder lies in front of the truck. The edge of the road is sprinkled with rocks and stones. You jog up to the cab and shout at the high window.<br>"Who's there?" the driver calls.<br>"I'm off a charter bus filled with soccer players," you yell. "It's hanging over the edge of the river and we need help - fast!"<br>"Come up in the cab," the driver orders. "Tell me what happened."<br>You climb in and give him the details.

SOCCER_STAR_PAGE_94 | Why be proud? you think. It's not worth it. You take off down the street. Sean runs after you but doesn't follow for long. You're in great shape from running so much in soccer practice. He knows he can't catch you.<br>"Next time," he calls after you, panting. You feel good about having escaped Sean's attack, but you suspect that your problems with him aren't over. In the weeks ahead, you see him sometimes after school but always manage to keep clear of him. After a while you forget about him completely.<br>Now you have time to work extra hard on your soccer. By the time the state championship rolls around, Hillsdale has qualified and you're on the starting team.<br>The opposing team-Weston-has an incred- ible record. Word is that their goalie, Cliff Lindholm, is as good as any in the country. Only three goals have been scored off him all season. <br>There's a lot of suspense building up for the game. The winner has a shot at becoming national champion, and that's attracting major attention. Before the game gets underway you hear that there are scouts attending from several big universities, a scout from England, and <i>two</i> from Spain!

SOCCER_STAR_PAGE_95 |  "Okay, let's start," Mr. Charbonneau says. ''Why do I say the history of the world is re- vealed in this list? Well, let's just go through it. Much of world history has been dominated by strong, ruthless leaders, bent on power. Caesar and Napoleon are two excellent examples - one from the ancient world and one from the beginning of modern Europe." He makes a chalk mark next to these two names.<br>"The endless cycle of tyranny, war, and repression caused some people to try to think up a better system, to create something else in the world besides one cruel empire after another. Their ideas led to the principle that every person has rights. It was an idea so powerful that it led to the American Revolution, in which George Washington played such an important role." Again he checks off the name.<br>"The forging of the Constitution of the United States and the union of the separate states was a magnificent achievement. But grave problems still existed, one of which was slavery. Slavery wasn't the only cause of the American CivilWar, but it was the most important issue by far. Enter Abe Lincoln. Thank goodness. For it was Lincoln's courage and wisdom that set the country on a more noble course."<br>Mr. Charbonneau checks off Lincoln on the board. But he's not finished yet.

SOCCER_STAR_PAGE_96 | Soccer season is over. During the off-season you work hard at basketball because you want to keep in shape. But for some reason you can't get excited about it. You want to be outdoors and running on the grass of a freshly trimmed soccer field. You look forward to summer, when you should have plenty of time to hone your skills. It sounds like a great plan until, near the end of the school year, you get a message telling you to report to the principal' s office.<br>You don't really know Ms. Finley-she's only been at Hillsdale since the beginning of the spring term. Your mom told you that the school board appointed her principal because Hillsdale was getting too much of a reputation as a sports school. They wanted a strong-minded person in charge, one who was more interested in books than in soccer balls.<br>When Ms. Finley first spoke at assembly she mentioned that she liked to have conferences with each student in the school. You guess that's why you're there.<br>Still, you are a little nervous as you wait outside Ms. Finley's office. You've been so absorbed in sports that you haven't been working that hard in some of your courses. A couple of your teachers have noticed. Maybe that's what the principal wants to talk about.

SOCCER_STAR_PAGE_98 | The game is important not just because it's capping off the summer, but because some scouts from top college teams will be there. If you play a great game, they'll keep track of you. This could be your first step toward getting a college scholarship!<br>Game day dawns hot and steamy. Since the game won't start until 3:00 P.M. it could be the hottest workout of your life.<br>Coach Chandler advises you and the other Buffs to drink lots of water. "Who wins or loses may depend on who keeps from getting dehydrated," he says.<br>Fortunately, by the time the game starts, clouds have covered the sky. It may rain, but at least you're not going to get baked out on the field.<br>As you warm up with a light scrimmage, you glance up at the stands, trying to pick out the scouts from the big colleges. The next thing you know, you crash into another player. He yells at you angrily. Your mistake makes you feel sheepish, and you resolve not to be distracted during the game.<br>Finally, the whistle blows. Immediately your mind empties of every thought except getting the ball and moving it down the field and into the goal. You and the other Buffs play well together. Your team scores the first goal, but the Bears quickly strike back with one of their own. You see this is going to be a battle.

SOCCER_STAR_PAGE_99 | You nod along with the others. You've never heard of running a class this way, but you like the freedom it gives you. You settle back in your chair as Mr. Charbonneau begins.

SOCCER_STAR_TRANSITION_PAGE_75 | You lose interest in Mr. Charbonneau 's lecture
SOCCER_STAR_TRANSITION_PAGE_95 | Continue the lecture

SOCCER_STAR_PAGE_100 | The coach leans over to take a close look at the bruise. It's beginning to swell. "I'll talk to you later, Sean," he says. "Meanwhile, you're suspended until further notice." Coach Drake turns to you. "You feel able to keep playing?" he asks.<br>"I think so," you say. "It'll loosen as I play."<br>"I think you better put some ice on it instead - you've already shown your stuff this afternoon." He turns to summon replacements off the bench.<br>You begin walking toward the showers, but Sean is not ready to give up.<br>"You're going to regret this," he grumbles. Then he pokes you with a long, bony finger and stalks off.

